overall_rank,train_config,total_trades_train,return_pct_train,max_dd_pct_train,score_train,train_rank,risk_pct_train,sl_atr_mult_train,rr_train,daily_max_losses_train,total_trades_test,return_pct_test,max_dd_pct_test,score_test,test_rank,score_diff_pct,overfit,overall_score
1,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL3,343,-9.96,17.1,-0.5825,15,0.005,2.5,1.75,3,160,-1.84,9.41,-0.196,1,-66.3519313304721,YES,-0.31194999999999995
2,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL2,336,-10.31,16.92,-0.6092,18,0.005,2.5,1.75,2,158,-2.13,9.09,-0.234,2,-61.58896913985554,YES,-0.34656
3,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL3,343,-6.52,14.46,-0.4509,3,0.005,2.25,2.0,3,159,-3.31,10.58,-0.3128,4,-30.627633621645593,YES,-0.35423
4,TREND_ONLY_R0.005_ATR2.5_RR2.0_DL3,340,-7.54,18.87,-0.3999,1,0.005,2.5,2.0,3,155,-3.38,9.48,-0.3569,5,-10.752688172043007,YES,-0.36979999999999996
5,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL1,282,-11.28,17.71,-0.6372,19,0.005,2.5,1.75,1,138,-2.24,8.42,-0.2657,3,-58.30194601381042,YES,-0.37715
6,TREND_ONLY_R0.005_ATR2.5_RR2.0_DL2,333,-8.24,18.79,-0.4386,2,0.005,2.5,2.0,2,153,-3.78,9.85,-0.3837,7,-12.517099863201095,YES,-0.40017
7,TREND_ONLY_R0.01_ATR2.25_RR2.0_DL3,343,-14.14,27.32,-0.5174,8,0.01,2.25,2.0,3,159,-7.27,20.32,-0.3576,6,-30.88519520680325,YES,-0.40554
8,TREND_ONLY_R0.01_ATR2.5_RR2.0_DL3,340,-15.98,34.6,-0.4619,4,0.01,2.5,2.0,3,155,-7.38,18.59,-0.3971,8,-14.029010608356781,YES,-0.41654
9,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL2,337,-6.29,13.54,-0.4648,5,0.005,2.25,2.0,2,156,-4.62,10.95,-0.4222,9,-9.165232358003436,YES,-0.4349799999999999
10,TREND_ONLY_R0.01_ATR2.5_RR2.0_DL2,333,-17.22,34.48,-0.4994,6,0.01,2.5,2.0,2,153,-8.13,19.25,-0.4224,10,-15.418502202643175,YES,-0.4455
11,TREND_ONLY_R0.01_ATR2.25_RR2.0_DL2,337,-13.7,25.75,-0.5318,11,0.01,2.25,2.0,2,156,-9.75,20.96,-0.465,13,-12.561113200451302,YES,-0.48504
12,TREND_ONLY_R0.005_ATR2.0_RR2.5_DL3,344,-11.96,19.73,-0.6063,17,0.005,2.0,2.5,3,155,-3.89,8.66,-0.4487,11,-25.993732475672104,YES,-0.49598
13,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL1,282,-10.49,17.52,-0.599,16,0.005,2.25,2.0,1,137,-4.68,10.1,-0.4634,12,-22.637729549248746,YES,-0.50408
14,TREND_ONLY_R0.005_ATR2.25_RR2.5_DL3,332,-10.18,19.88,-0.5122,7,0.005,2.25,2.5,3,154,-5.72,9.89,-0.579,14,13.041780554470906,YES,-0.5589599999999999
15,TREND_ONLY_R0.005_ATR2.25_RR2.5_DL2,325,-11.49,19.99,-0.5745,12,0.005,2.25,2.5,2,152,-6.34,10.48,-0.6053,15,5.361183637946029,YES,-0.5960599999999999
16,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL3,348,-7.93,15.18,-0.5223,9,0.005,2.25,1.75,3,163,-5.51,8.35,-0.6602,16,26.40245069883209,YES,-0.61883
17,TREND_ONLY_R0.01_ATR2.25_RR1.75_DL3,348,-16.53,28.54,-0.5792,13,0.01,2.25,1.75,3,163,-11.36,16.27,-0.6983,17,20.562845303867398,YES,-0.66257
18,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL2,342,-7.48,14.27,-0.5239,10,0.005,2.25,1.75,2,160,-6.56,8.9,-0.7375,19,40.77113953044474,YES,-0.67342
19,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL1,288,-8.32,12.78,-0.6508,20,0.005,2.25,1.75,1,141,-5.84,8.2,-0.7128,18,9.526736324523654,YES,-0.6941999999999999
20,TREND_ONLY_R0.01_ATR2.25_RR1.75_DL2,342,-15.69,26.95,-0.5822,14,0.01,2.25,1.75,2,160,-13.31,17.53,-0.7593,20,30.41909996564753,YES,-0.70617
