engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.5_DL1,678,197,481,29.06,-9979.17,20.83,-99.79,99.79,-14.7185,-1.0,,0.01,1.0,1.5,2.82,4.22,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.5_DL2,1147,345,802,30.08,-9999.67,0.33,-100.0,100.0,-8.7181,-1.0,,0.01,1.0,1.5,2.81,4.2,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.5_DL3,1436,425,1011,29.6,-9999.98,0.02,-100.0,100.0,-6.9638,-1.0,,0.01,1.0,1.5,2.69,4.02,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.75_DL1,664,174,490,26.2,-9976.84,23.16,-99.77,99.77,-15.0254,-1.0,,0.01,1.0,1.75,2.82,4.93,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.75_DL2,1124,302,822,26.87,-9999.65,0.35,-100.0,100.0,-8.8965,-1.0,,0.01,1.0,1.75,2.8,4.89,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR1.75_DL3,1420,375,1045,26.41,-9999.99,0.01,-100.0,100.0,-7.0422,-1.0,,0.01,1.0,1.75,2.68,4.68,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR2.0_DL1,658,162,496,24.62,-9972.2,27.8,-99.72,99.72,-15.1553,-1.0,,0.01,1.0,2.0,2.83,5.66,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR2.0_DL2,1111,278,833,25.02,-9999.54,0.46,-100.0,100.0,-9.0005,-1.0,,0.01,1.0,2.0,2.8,5.59,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR2.0_DL3,1409,345,1064,24.49,-9999.98,0.02,-100.0,100.0,-7.0972,-1.0,,0.01,1.0,2.0,2.67,5.34,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.0_RR2.5_DL1,641,141,500,22.0,-9961.92,38.08,-99.62,99.63,-15.5412,-0.9999,,0.01,1.0,2.5,2.8,7.0,1
